question_id	question_rank	document_title	paragraph_index
49	2	Multiracial_American	17
49	3	Montana	42
49	4	Slavs	21
49	5	Nonprofit_organization	6
52	1	Dog	27
52	2	Multiracial_American	17
52	3	Dwight_D._Eisenhower	88
52	4	Botany	43
52	5	MP3	29
55	1	Universal_Studios	30
55	2	Universal_Studios	29
55	3	Universal_Studios	0
55	4	IPod	28
55	5	Sony_Music_Entertainment	1
58	1	Renewable_energy_commercialization	23
58	2	Tajikistan	6
58	3	Time	12
58	4	PlayStation_3	35
58	5	God	23
61	1	National_Archives_and_Records_Administration	12
61	2	National_Archives_and_Records_Administration	17
61	3	Gramophone_record	21
61	4	Gramophone_record	11
61	5	Gramophone_record	19
64	1	Russian_Soviet_Federative_Socialist_Republic	16
64	2	Russian_Soviet_Federative_Socialist_Republic	2
64	3	Russian_Soviet_Federative_Socialist_Republic	18
64	4	Russian_Soviet_Federative_Socialist_Republic	17
64	5	Russian_Soviet_Federative_Socialist_Republic	20
67	1	Alfred_North_Whitehead	6
67	2	PlayStation_3	26
67	3	Freemasonry	30
67	4	Idealism	14
67	5	Time	12
70	1	Web_browser	21
70	2	History_of_science	62
70	3	Pub	1
70	4	American_Idol	2
70	5	Idealism	14
73	1	Friedrich_Hayek	49
73	2	Labour_Party_(UK)	18
73	3	Daylight_saving_time	6
73	4	The_Blitz	4
73	5	Aspirated_consonant	31
76	1	USB	3
76	2	Compact_disc	15
76	3	USB	16
76	4	Nanjing	39
76	5	Film_speed	24
79	1	Classical_music	59
79	2	Federal_Bureau_of_Investigation	32
79	3	To_Kill_a_Mockingbird	55
79	4	Child_labour	21
79	5	2008_Sichuan_earthquake	55
82	1	Canadian_Armed_Forces	41
82	2	Computer_security	17
82	3	Computer_security	19
82	4	Presbyterianism	26
82	5	George_VI	13
85	1	Catalan_language	74
85	2	Dialect	30
85	3	Estonian_language	2
85	4	Nigeria	38
85	5	Aspirated_consonant	25
88	1	Spanish_language_in_the_United_States	11
88	2	United_States_dollar	3
88	3	New_York_City	18
88	4	United_States_Army	4
88	5	Spanish_language_in_the_United_States	8
91	1	Great_power	19
91	2	Cyprus	42
91	3	Cyprus	37
91	4	Comcast	5
91	5	Estonia	47
94	1	Southern_Europe	21
94	2	Catalan_language	59
94	3	Greece	58
94	4	Oklahoma	37
94	5	Estonian_language	0
97	1	Buddhism	64
97	2	Infection	16
97	3	Emotion	1
97	4	Idealism	4
97	5	Alfred_North_Whitehead	6
100	1	Qing_dynasty	0
100	2	Sino-Tibetan_relations_during_the_Ming_dynasty	8
100	3	Sino-Tibetan_relations_during_the_Ming_dynasty	4
100	4	Qing_dynasty	50
100	5	Qing_dynasty	61
103	1	Dog	27
103	2	Richmond,_Virginia	36
103	3	Multiracial_American	17
103	4	Seven_Years%27_War	4
103	5	Crimean_War	28
106	1	American_Idol	92
106	2	Gymnastics	21
106	3	Alps	19
106	4	Mesozoic	2
106	5	Tucson,_Arizona	33
109	1	History_of_science	62
109	2	Web_browser	21
109	3	Slavs	30
109	4	Jehovah%27s_Witnesses	24
109	5	History_of_science	0
112	1	Queen_(band)	50
112	2	Southampton	89
112	3	Queen_(band)	42
112	4	Queen_(band)	53
112	5	Queen_Victoria	8
115	1	Dog	41
115	2	Geological_history_of_Earth	22
115	3	Xbox_360	24
115	4	United_States_Army	1
115	5	Geological_history_of_Earth	21
118	1	Dog	27
118	2	Slavs	30
118	3	Rule_of_law	3
118	4	Multiracial_American	17
118	5	Protestantism	29
121	1	Saint_Barth%C3%A9lemy	9
121	2	Uranium	38
121	3	Incandescent_light_bulb	34
121	4	Poultry	17
121	5	Brain	14
124	1	Multiracial_American	17
124	2	Dog	27
124	3	British_Empire	27
124	4	Nigeria	7
124	5	British_Empire	55
127	1	Genome	15
127	2	Genome	16
127	3	Yale_University	33
127	4	Rajasthan	9
127	5	Aircraft_carrier	24
130	1	Bird	54
130	2	Bird	2
130	3	Bird	60
130	4	Bird_migration	52
130	5	Bird	6
133	1	Southampton	12
133	2	Detroit	7
133	3	Plymouth	8
133	4	Umayyad_Caliphate	0
133	5	Houston	11
136	1	Electric_motor	25
136	2	Nonprofit_organization	6
136	3	Edmund_Burke	12
136	4	Federal_Bureau_of_Investigation	32
136	5	Affirmative_action_in_the_United_States	3
139	1	Buddhism	6
139	2	Steven_Spielberg	36
139	3	Gene	38
139	4	Alexander_Graham_Bell	6
139	5	John,_King_of_England	10
142	1	Alfred_North_Whitehead	6
142	2	Idealism	14
142	3	PlayStation_3	26
142	4	Nutrition	1
142	5	Freemasonry	30
145	1	Buddhism	114
145	2	Sino-Tibetan_relations_during_the_Ming_dynasty	71
145	3	Sino-Tibetan_relations_during_the_Ming_dynasty	3
145	4	Sino-Tibetan_relations_during_the_Ming_dynasty	57
145	5	Sino-Tibetan_relations_during_the_Ming_dynasty	54
148	1	The_Times	1
148	2	The_Times	0
148	3	The_Times	38
148	4	The_Times	47
148	5	The_Times	2
151	1	PlayStation_3	26
151	2	Nutrition	1
151	3	John_von_Neumann	27
151	4	Gramophone_record	32
151	5	Richard_Feynman	1
154	1	Richard_Feynman	17
154	2	Database	9
154	3	Database	21
154	4	Nintendo_Entertainment_System	40
154	5	Super_Nintendo_Entertainment_System	9
157	1	Quran	23
157	2	Age_of_Enlightenment	8
157	3	Buddhism	23
157	4	Middle_Ages	6
157	5	Jehovah%27s_Witnesses	24
160	1	Nanjing	40
160	2	Bras%C3%ADlia	21
160	3	Airport	22
160	4	North_Carolina	60
160	5	Utrecht	17
163	1	Oklahoma	5
163	2	North_Carolina	1
163	3	Tucson,_Arizona	6
163	4	Geography_of_the_United_States	6
163	5	Montana	10
166	1	New_York_City	33
166	2	New_York_City	0
166	3	New_York_City	82
166	4	Comics	6
166	5	New_York_City	130
169	1	Thuringia	1
169	2	Dominican_Order	22
169	3	Greeks	40
169	4	Greeks	20
169	5	Heresy	7
172	1	Idealism	16
172	2	Dell	39
172	3	Dog	27
172	4	Crucifixion_of_Jesus	1
172	5	Classical_music	5
175	1	Financial_crisis_of_2007%E2%80%9308	57
175	2	Szlachta	59
175	3	Pesticide	3
175	4	The_Blitz	4
175	5	YouTube	16
178	1	PlayStation_3	26
178	2	New_Haven,_Connecticut	41
178	3	Time	12
178	4	New_York_City	107
178	5	New_Haven,_Connecticut	10
181	1	Lancashire	8
181	2	Southampton	24
181	3	Lancashire	7
181	4	Tennessee	6
181	5	Estonia	27
184	1	Russian_Soviet_Federative_Socialist_Republic	2
184	2	Russian_Soviet_Federative_Socialist_Republic	11
184	3	Dissolution_of_the_Soviet_Union	0
184	4	Dissolution_of_the_Soviet_Union	64
184	5	Armenia	19
187	1	Catalan_language	73
187	2	Catalan_language	71
187	3	Catalan_language	76
187	4	New_Delhi	45
187	5	Spanish_language_in_the_United_States	1
190	1	Poultry	23
190	2	New_York_City	18
190	3	Spanish_language_in_the_United_States	11
190	4	United_States_Army	4
190	5	United_States_dollar	3
193	1	Plymouth	58
193	2	Adult_contemporary_music	50
193	3	Plymouth	42
193	4	Religion_in_ancient_Rome	77
193	5	Multiracial_American	1
196	1	Tibet	7
196	2	Hokkien	1
196	3	Korean_War	44
196	4	Korean_War	3
196	5	Korean_War	11
199	1	San_Diego	27
199	2	San_Diego	29
199	3	Arena_Football_League	34
199	4	San_Diego	45
199	5	Myanmar	16
202	1	Identity_(social_science)	5
202	2	Adolescence	11
202	3	Adolescence	26
202	4	Idealism	16
202	5	Identity_(social_science)	18
205	1	Alexander_Graham_Bell	32
205	2	Alexander_Graham_Bell	31
205	3	Alexander_Graham_Bell	33
205	4	Alexander_Graham_Bell	58
205	5	Alexander_Graham_Bell	42
208	1	Presbyterianism	24
208	2	Presbyterianism	30
208	3	Richmond,_Virginia	23
208	4	Heresy	8
208	5	Boston	49
211	1	Montana	3
211	2	Insect	31
211	3	Iranian_languages	8
211	4	Iranian_languages	10
211	5	Dutch_language	11
214	1	Tennessee	35
214	2	Rajasthan	20
214	3	Affirmative_action_in_the_United_States	39
214	4	Portugal	60
214	5	Northwestern_University	1
217	1	Gothic_architecture	0
217	2	Neoclassical_architecture	19
217	3	Cubism	30
217	4	University_of_Notre_Dame	35
217	5	Royal_Institute_of_British_Architects	20
220	1	Time	12
220	2	PlayStation_3	26
220	3	Freemasonry	30
220	4	Alfred_North_Whitehead	6
220	5	Dominican_Order	27
223	1	Dell	40
223	2	2008_Summer_Olympics_torch_relay	59
223	3	Dell	39
223	4	Crucifixion_of_Jesus	19
223	5	The_Blitz	4
226	1	Saint_Helena	38
226	2	Southampton	38
226	3	The_Times	34
226	4	Daylight_saving_time	26
226	5	Sony_Music_Entertainment	7
229	1	Gene	44
229	2	Classical_music	5
229	3	Dog	27
229	4	Multiracial_American	17
229	5	Galicia_(Spain)	26
232	1	Aspirated_consonant	5
232	2	Materialism	6
232	3	2008_Summer_Olympics_torch_relay	55
232	4	Carnival	5
232	5	Gramophone_record	32
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	Phonology	8
235	3	Russian_Soviet_Federative_Socialist_Republic	15
235	4	New_Haven,_Connecticut	14
235	5	Montevideo	13
238	1	Southampton	89
238	2	Queen_(band)	50
238	3	Queen_(band)	42
238	4	Queen_Victoria	36
238	5	2008_Summer_Olympics_torch_relay	35
241	1	Westminster_Abbey	43
241	2	Richmond,_Virginia	44
241	3	Richmond,_Virginia	42
241	4	IBM	21
241	5	USB	2
244	1	British_Isles	28
244	2	Presbyterianism	22
244	3	British_Isles	25
244	4	Federalism	33
244	5	Dell	38
247	1	Capacitor	10
247	2	John_von_Neumann	27
247	3	FC_Barcelona	36
247	4	Pharmaceutical_industry	37
247	5	Dominican_Order	27
250	1	Cyprus	41
250	2	Madonna_(entertainer)	4
250	3	John_Kerry	3
250	4	Plymouth	78
250	5	Antarctica	39
253	1	Textual_criticism	6
253	2	Old_English	5
253	3	Textual_criticism	1
253	4	Sanskrit	17
253	5	Copyright_infringement	27
256	1	University	12
256	2	Gothic_architecture	34
256	3	Northwestern_University	1
256	4	Affirmative_action_in_the_United_States	39
256	5	Utrecht	22
259	1	Dog	27
259	2	Emotion	37
259	3	Multiracial_American	17
259	4	Gene	44
259	5	Buddhism	75
262	1	Sanskrit	17
262	2	Pain	14
262	3	Karl_Popper	21
262	4	Group_(mathematics)	6
262	5	Friedrich_Hayek	30
265	1	Dog	27
265	2	Treaty	30
265	3	Multiracial_American	17
265	4	Renewable_energy_commercialization	23
265	5	Classical_music	5
268	1	Presbyterianism	26
268	2	Computer_security	17
268	3	Computer_security	19
268	4	Computer_security	12
268	5	Avicenna	25
271	1	Mexico_City	0
271	2	Mexico_City	73
271	3	Mexico_City	65
271	4	Mexico_City	40
271	5	Mexico_City	14
274	1	Freemasonry	24
274	2	Capital_punishment_in_the_United_States	38
274	3	Crimean_War	49
274	4	Political_party	3
274	5	2008_Summer_Olympics_torch_relay	59
277	1	Antenna_(radio)	24
277	2	Gene	43
277	3	Alps	78
277	4	Szlachta	16
277	5	Gothic_architecture	31
280	1	PlayStation_3	26
280	2	Time	12
280	3	Nutrition	1
280	4	Phonology	21
280	5	John_von_Neumann	27
283	1	Detroit	38
283	2	British_Isles	15
283	3	Indigenous_peoples_of_the_Americas	7
283	4	Slavs	47
283	5	Galicia_(Spain)	39
286	1	East_India_Company	24
286	2	East_India_Company	30
286	3	Dutch_Republic	15
286	4	History_of_India	64
286	5	Saint_Helena	8
289	1	Cyprus	41
289	2	Madonna_(entertainer)	4
289	3	John_Kerry	3
289	4	Plymouth	78
289	5	Antarctica	39
292	1	Raleigh,_North_Carolina	9
292	2	Charleston,_South_Carolina	0
292	3	North_Carolina	54
292	4	North_Carolina	52
292	5	Atlantic_City,_New_Jersey	0
295	1	Antarctica	3
295	2	Multiracial_American	1
295	3	Biodiversity	20
295	4	Alaska	43
295	5	Financial_crisis_of_2007%E2%80%9308	19
298	1	Cyprus	40
298	2	Aspirated_consonant	30
298	3	Multiracial_American	1
298	4	Alaska	44
298	5	Cyprus	4
